Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Engine Components/span_Engine Components""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:00,2019-05-28 19:40:00,0.844s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-28 19:40:00,2019-05-28 19:40:05,5.003s,PASSED
"verifyElementText(findTestObject(""Object Repository/SiteMap/Powertrain/Engine Components/h1_Keep putting power down with Genuine GM Parts""), ""Keep putting power down with Genuine GM Parts"", CONTINUE_ON_FAILURE)",Chrome 74.0.3729.169,,,2019-05-28 19:40:05,2019-05-28 19:40:05,0.065s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Engine Components/span_CAMSHAFT PHASERS""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:05,2019-05-28 19:40:06,0.109s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:40:06,2019-05-28 19:40:07,0.993s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Powertrain/Engines,Chrome 74.0.3729.169,,,2019-05-28 19:40:07,2019-05-28 19:40:24,17.732s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:40:07,2019-05-28 19:40:13,5.871s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:40:13,2019-05-28 19:40:14,1.137s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:40:14,2019-05-28 19:40:17,3.045s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Engines/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:17,2019-05-28 19:40:17,0.106s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Engines/span_Engines""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:17,2019-05-28 19:40:18,1.066s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-28 19:40:18,2019-05-28 19:40:23,5.004s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Engines/button_GO TO ECATALOG""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:23,2019-05-28 19:40:23,0.213s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:40:23,2019-05-28 19:40:24,1.049s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Powertrain/Powetrain Parts,Chrome 74.0.3729.169,,,2019-05-28 19:40:24,2019-05-28 19:40:40,15.904s,PASSED
