Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:26:24,2019-05-27 19:26:25,0.932s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Powertrain/Engines,Chrome 74.0.3729.169,,,2019-05-27 19:26:25,2019-05-27 19:26:48,23.045s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:26:25,2019-05-27 19:26:32,6.272s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:26:32,2019-05-27 19:26:42,10.213s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:26:42,2019-05-27 19:26:46,4.227s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Powertrain""))",Chrome 74.0.3729.169,,,2019-05-27 19:26:46,2019-05-27 19:26:46,0.212s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_Engines""))",Chrome 74.0.3729.169,,,2019-05-27 19:26:46,2019-05-27 19:26:47,0.165s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:26:47,2019-05-27 19:26:48,1.665s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Powertrain/Programs,Chrome 74.0.3729.169,,,2019-05-27 19:26:48,2019-05-27 19:27:03,15.232s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:26:48,2019-05-27 19:26:55,6.344s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:26:55,2019-05-27 19:26:56,1.184s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:26:56,2019-05-27 19:27:02,6.329s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/Powertrain/li_Powertrain""))",Chrome 74.0.3729.169,,,2019-05-27 19:27:02,2019-05-27 19:27:02,0.140s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/Powertrain/a_Programs  Offers""))",Chrome 74.0.3729.169,,,2019-05-27 19:27:02,2019-05-27 19:27:03,0.141s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:27:03,2019-05-27 19:27:03,0.861s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Powertrain/Technical Documents,Chrome 74.0.3729.169,,,2019-05-27 19:27:03,2019-05-27 19:27:17,13.450s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:27:04,2019-05-27 19:27:10,6.522s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:27:10,2019-05-27 19:27:12,1.235s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:27:12,2019-05-27 19:27:16,4.290s,PASSED
"click(findTestObject(""Powertrain docs/li_Powertrain""))",Chrome 74.0.3729.169,,,2019-05-27 19:27:16,2019-05-27 19:27:16,0.146s,PASSED
"click(findTestObject(""Powertrain docs/a_Technical Documents""))",Chrome 74.0.3729.169,,,2019-05-27 19:27:16,2019-05-27 19:27:16,0.120s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:27:16,2019-05-27 19:27:17,0.859s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Powertrain/Transmission Components,Chrome 74.0.3729.169,,,2019-05-27 19:27:17,2019-05-27 19:27:30,13.520s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:27:17,2019-05-27 19:27:24,6.686s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:27:24,2019-05-27 19:27:25,1.156s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:27:25,2019-05-27 19:27:29,3.982s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Powertrain""))",Chrome 74.0.3729.169,,,2019-05-27 19:27:29,2019-05-27 19:27:29,0.144s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_Transmission components""))",Chrome 74.0.3729.169,,,2019-05-27 19:27:29,2019-05-27 19:27:29,0.146s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:27:29,2019-05-27 19:27:30,1.128s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Powertrain/Transmission Transfer Cases,Chrome 74.0.3729.169,,,2019-05-27 19:27:31,2019-05-27 19:27:45,14.607s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:27:31,2019-05-27 19:27:38,7.303s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:27:38,2019-05-27 19:27:39,1.299s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:27:39,2019-05-27 19:27:44,4.394s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Powertrain""))",Chrome 74.0.3729.169,,,2019-05-27 19:27:44,2019-05-27 19:27:44,0.172s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_Transmissions  Transfer cases""))",Chrome 74.0.3729.169,,,2019-05-27 19:27:44,2019-05-27 19:27:44,0.147s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:27:44,2019-05-27 19:27:45,0.895s,PASSED
